14.9309	0.25224	0.50533	0.75828	1.0108	1.2633	1.5162	1.7692	2.0221	2.2753	2.5285	2.7811	3.0344	3.2895	3.5461	3.8022	4.0549	4.3054	4.5589	4.8131	5.0654	5.3181	5.5718	5.8236	6.076	6.33	6.5836	6.8362	7.0878	7.3388	7.5902	7.8432	8.0986	8.3541	8.6052	8.8553	9.1101	9.3655	9.616	9.866	10.1217	10.3801	10.6368	10.8898	11.1398	11.3907	11.6451	11.9009	12.1527	12.4027	12.6571	12.9117	13.1637	13.4152	13.6684	13.9213	14.1737	14.4261	14.6786	14.9309	
14.6787	14.9309	0.25309	0.50604	0.75855	1.0111	1.2639	1.517	1.7698	2.023	2.2763	2.5288	2.7821	3.0373	3.2938	3.55	3.8027	4.0531	4.3066	4.5608	4.8131	5.0659	5.3196	5.5713	5.8238	6.0777	6.3313	6.584	6.8356	7.0866	7.338	7.591	7.8464	8.1019	8.3529	8.603	8.8578	9.1133	9.3638	9.6137	9.8695	10.1279	10.3846	10.6376	10.8876	11.1385	11.3929	11.6486	11.9004	12.1505	12.4048	12.6595	12.9115	13.163	13.4161	13.6691	13.9214	14.1739	14.4263	14.6787	
14.4256	14.6779	14.9309	0.25295	0.50546	0.75799	1.0108	1.2639	1.5167	1.7699	2.0232	2.2757	2.529	2.7842	3.0407	3.2969	3.5496	3.8001	4.0535	4.3077	4.56	4.8128	5.0665	5.3182	5.5707	5.8247	6.0782	6.3309	6.5825	6.8335	7.0849	7.3379	7.5933	7.8488	8.0998	8.3499	8.6047	8.8602	9.1107	9.3606	9.6164	9.8748	10.1315	10.3845	10.6345	10.8854	11.1398	11.3955	11.6473	11.8974	12.1517	12.4064	12.6584	12.9099	13.163	13.416	13.6683	13.9208	14.1732	14.4256	
14.1727	14.4249	14.678	14.9309	0.25251	0.50504	0.7579	1.011	1.2638	1.517	1.7702	2.0228	2.2761	2.5312	2.7878	3.0439	3.2966	3.5471	3.8006	4.0548	4.3071	4.5598	4.8135	5.0653	5.3177	5.5717	5.8253	6.0779	6.3296	6.5805	6.8319	7.0849	7.3404	7.5958	7.8469	8.097	8.3518	8.6073	8.8577	9.1077	9.3634	9.6218	9.8785	10.1315	10.3815	10.6324	10.8868	11.1426	11.3944	11.6444	11.8988	12.1534	12.4054	12.6569	12.9101	13.163	13.4154	13.6679	13.9203	14.1727	
13.9202	14.1724	14.4255	14.6784	14.9309	0.25253	0.50539	0.75846	1.0113	1.2645	1.5177	1.7703	2.0236	2.2787	2.5353	2.7914	3.0441	3.2946	3.5481	3.8023	4.0546	4.3073	4.561	4.8128	5.0652	5.3192	5.5728	5.8254	6.0771	6.328	6.5794	6.8324	7.0879	7.3433	7.5944	7.8445	8.0993	8.3547	8.6052	8.8552	9.1109	9.3693	9.626	9.879	10.129	10.3799	10.6343	10.8901	11.1419	11.3919	11.6463	11.9009	12.1529	12.4044	12.6576	12.9105	13.1629	13.4153	13.6678	13.9202	
13.6676	13.9199	14.173	14.4259	14.6784	14.9309	0.25286	0.50593	0.75876	1.012	1.2652	1.5177	1.771	2.0262	2.2827	2.5389	2.7916	3.0421	3.2956	3.5497	3.802	4.0548	4.3085	4.5603	4.8127	5.0667	5.3202	5.5729	5.8245	6.0755	6.3269	6.5799	6.8353	7.0908	7.3418	7.592	7.8468	8.1022	8.3527	8.6026	8.8584	9.1168	9.3735	9.6265	9.8765	10.1274	10.3818	10.6375	10.8893	11.1394	11.3937	11.6484	11.9004	12.1519	12.4051	12.658	12.9104	13.1628	13.4152	13.6676	
13.4148	13.667	13.9201	14.173	14.4256	14.6781	14.9309	0.25307	0.5059	0.75909	1.0123	1.2649	1.5182	1.7733	2.0299	2.286	2.5387	2.7892	3.0427	3.2969	3.5492	3.8019	4.0556	4.3074	4.5598	4.8138	5.0674	5.32	5.5717	5.8226	6.074	6.327	6.5825	6.8379	7.089	7.3391	7.5939	7.8494	8.0998	8.3498	8.6055	8.8639	9.1206	9.3736	9.6236	9.8745	10.1289	10.3847	10.6365	10.8865	11.1409	11.3955	11.6475	11.899	12.1522	12.4051	12.6575	12.91	13.1624	13.4148	
13.1617	13.4139	13.667	13.92	14.1725	14.425	14.6779	14.9309	0.25283	0.50603	0.75927	1.0118	1.2651	1.5203	1.7768	2.033	2.2857	2.5361	2.7896	3.0438	3.2961	3.5489	3.8025	4.0543	4.3068	4.5607	4.8143	5.067	5.3186	5.5696	5.821	6.074	6.3294	6.5848	6.8359	7.086	7.3408	7.5963	7.8468	8.0967	8.3525	8.6109	8.8676	9.1206	9.3706	9.6215	9.8759	10.1316	10.3834	10.6335	10.8878	11.1425	11.3945	11.646	11.8991	12.1521	12.4044	12.6569	12.9093	13.1617	
12.9089	13.1611	13.4142	13.6671	13.9197	14.1722	14.425	14.6781	14.9309	0.25319	0.50644	0.75898	1.0123	1.2674	1.524	1.7801	2.0328	2.2833	2.5368	2.791	3.0433	3.296	3.5497	3.8015	4.0539	4.3079	4.5615	4.8141	5.0658	5.3167	5.5681	5.8211	6.0766	6.332	6.5831	6.8332	7.088	7.3435	7.5939	7.8439	8.0996	8.358	8.6147	8.8677	9.1177	9.3686	9.623	9.8788	10.1306	10.3806	10.635	10.8896	11.1416	11.3931	11.6463	11.8992	12.1516	12.4041	12.6565	12.9089	
12.6557	12.9079	13.161	13.414	13.6665	13.919	14.1719	14.4249	14.6778	14.9309	0.25324	0.50579	0.75909	1.0142	1.2708	1.5269	1.7796	2.0301	2.2836	2.5378	2.7901	3.0428	3.2965	3.5483	3.8007	4.0547	4.3083	4.5609	4.8126	5.0636	5.3149	5.5679	5.8234	6.0788	6.3299	6.58	6.8348	7.0903	7.3407	7.5907	7.8465	8.1048	8.3615	8.6145	8.8645	9.1155	9.3698	9.6256	9.8774	10.1274	10.3818	10.6365	10.8885	11.14	11.3931	11.646	11.8984	12.1509	12.4033	12.6557	
