9,3969	0,61505	1,3825	2,043	2,7336	3,9705	4,5261	5,1132	5,8153	6,5235	7,342	8,0975	8,675	
8,7818	9,3969	0,76744	1,428	2,1186	3,3555	3,9111	4,4981	5,2003	5,9085	6,727	7,4825	8,06	
8,0144	8,6295	9,3969	0,66055	1,3512	2,588	3,1436	3,7307	4,4329	5,141	5,9595	6,715	7,2925	
7,3539	7,9689	8,7363	9,3969	0,69061	1,9275	2,4831	3,0701	3,7723	4,4805	5,299	6,0545	6,632	
6,6632	7,2783	8,0457	8,7063	9,3969	1,2369	1,7925	2,3795	3,0817	3,7899	4,6084	5,3639	5,9414	
5,4264	6,0414	6,8089	7,4694	8,16	9,3969	0,55559	1,1426	1,8448	2,553	3,3715	4,127	4,7045	
4,8708	5,4858	6,2533	6,9138	7,6044	8,8413	9,3969	0,58706	1,2892	1,9974	2,8159	3,5714	4,1489	
4,2837	4,8988	5,6662	6,3268	7,0174	8,2542	8,8098	9,3969	0,70218	1,4103	2,2288	2,9844	3,5619	
3,5815	4,1966	4,964	5,6246	6,3152	7,5521	8,1077	8,6947	9,3969	0,70815	1,5267	2,2822	2,8597	
2,8734	3,4884	4,2559	4,9164	5,607	6,8439	7,3995	7,9866	8,6887	9,3969	0,81851	1,574	2,1515	
2,0549	2,6699	3,4374	4,0979	4,7885	6,0254	6,581	7,168	7,8702	8,5784	9,3969	0,75552	1,333	
1,2994	1,9144	2,6818	3,3424	4,033	5,2699	5,8255	6,4125	7,1147	7,8229	8,6414	9,3969	0,5775	
0,72186	1,3369	2,1044	2,7649	3,4555	4,6924	5,248	5,835	6,5372	7,2454	8,0639	8,8194	9,3969	
