5,6461	0,26741	0,58755	0,8614	1,1653	1,4198	1,7653	2,0611	2,368	2,6934	2,9967	3,2614	3,6411	3,986	4,2934	4,663	5,0015	5,3648	
5,3787	5,6461	0,32014	0,594	0,89786	1,1524	1,4979	1,7937	2,1006	2,426	2,7293	2,9939	3,3737	3,7186	4,026	4,3956	4,7341	5,0974	
5,0585	5,3259	5,6461	0,27385	0,57772	0,83228	1,1777	1,4736	1,7805	2,1059	2,4091	2,6738	3,0535	3,3984	3,7059	4,0755	4,414	4,7773	
4,7847	5,0521	5,3722	5,6461	0,30387	0,55843	0,90387	1,1997	1,5066	1,832	2,1353	2,3999	2,7797	3,1246	3,432	3,8016	4,1401	4,5034	
4,4808	4,7482	5,0683	5,3422	5,6461	0,25456	0,6	0,89587	1,2028	1,5282	1,8314	2,0961	2,4758	2,8207	3,1282	3,4978	3,8363	4,1996	
4,2262	4,4936	4,8138	5,0876	5,3915	5,6461	0,34544	0,64131	0,94819	1,2736	1,5768	1,8415	2,2212	2,5662	2,8736	3,2432	3,5817	3,945	
3,8808	4,1482	4,4683	4,7422	5,0461	5,3006	5,6461	0,29587	0,60276	0,92815	1,2314	1,4961	1,8758	2,2207	2,5282	2,8978	3,2363	3,5996	
3,5849	3,8523	4,1725	4,4463	4,7502	5,0048	5,3502	5,6461	0,30689	0,63229	0,93552	1,2002	1,5799	1,9248	2,2323	2,6019	2,9404	3,3037	
3,278	3,5455	3,8656	4,1394	4,4433	4,6979	5,0433	5,3392	5,6461	0,3254	0,62863	0,89333	1,273	1,618	1,9254	2,295	2,6335	2,9968	
2,9526	3,2201	3,5402	3,814	4,1179	4,3725	4,7179	5,0138	5,3207	5,6461	0,30323	0,56793	0,94765	1,2926	1,6	1,9696	2,3081	2,6714	
2,6494	2,9168	3,237	3,5108	3,8147	4,0692	4,4147	4,7105	5,0174	5,3428	5,6461	0,26469	0,64441	0,98933	1,2968	1,6664	2,0049	2,3682	
2,3847	2,6521	2,9723	3,2461	3,55	3,8045	4,15	4,4459	4,7527	5,0781	5,3814	5,6461	0,37972	0,72463	1,0321	1,4017	1,7402	2,1035	
2,005	2,2724	2,5925	2,8664	3,1703	3,4248	3,7703	4,0661	4,373	4,6984	5,0017	5,2663	5,6461	0,34491	0,65235	1,022	1,3605	1,7238	
1,6601	1,9275	2,2476	2,5215	2,8254	3,0799	3,4254	3,7212	4,0281	4,3535	4,6567	4,9214	5,3012	5,6461	0,30744	0,67706	1,0155	1,3789	
1,3526	1,6201	1,9402	2,214	2,5179	2,7725	3,1179	3,4138	3,7207	4,0461	4,3493	4,614	4,9937	5,3386	5,6461	0,36962	0,70811	1,0714	
0,98302	1,2504	1,5706	1,8444	2,1483	2,4029	2,7483	3,0442	3,351	3,6764	3,9797	4,2444	4,6241	4,969	5,2764	5,6461	0,33849	0,7018	
0,64454	0,91194	1,2321	1,5059	1,8098	2,0644	2,4098	2,7057	3,0126	3,338	3,6412	3,9059	4,2856	4,6305	4,938	5,3076	5,6461	0,36331	
0,28123	0,54863	0,86877	1,1426	1,4465	1,7011	2,0465	2,3424	2,6493	2,9746	3,2779	3,5426	3,9223	4,2672	4,5746	4,9443	5,2828	5,6461	
