17,3274	0,71072	1,561	2,1706	3,0843	4,2923	5,1951	6,1263	7,3787	9,279	10,4962	11,738	12,8784	13,756	14,8175	16,0527	
16,6167	17,3274	0,85029	1,4599	2,3735	3,5816	4,4844	5,4156	6,668	8,5682	9,7855	11,0273	12,1677	13,0453	14,1068	15,342	
15,7664	16,4771	17,3274	0,60957	1,5232	2,7313	3,6341	4,5653	5,8177	7,718	8,9352	10,177	11,3174	12,195	13,2565	14,4917	
15,1568	15,8675	16,7178	17,3274	0,91368	2,1217	3,0246	3,9558	5,2081	7,1084	8,3256	9,5674	10,7079	11,5854	12,6469	13,8822	
14,2431	14,9539	15,8042	16,4137	17,3274	1,208	2,1109	3,0421	4,2944	6,1947	7,4119	8,6537	9,7942	10,6717	11,7332	12,9685	
13,0351	13,7458	14,5961	15,2057	16,1194	17,3274	0,90286	1,8341	3,0864	4,9867	6,2039	7,4457	8,5862	9,4637	10,5252	11,7605	
12,1323	12,843	13,6933	14,3028	15,2165	16,4245	17,3274	0,93121	2,1836	4,0838	5,3011	6,5428	7,6833	8,5608	9,6223	10,8576	
11,2011	11,9118	12,7621	13,3716	14,2853	15,4933	16,3962	17,3274	1,2523	3,1526	4,3698	5,6116	6,7521	7,6296	8,6911	9,9264	
9,9487	10,6594	11,5097	12,1193	13,033	14,241	15,1438	16,075	17,3274	1,9003	3,1175	4,3593	5,4998	6,3773	7,4388	8,674	
8,0484	8,7592	9,6094	10,219	11,1327	12,3407	13,2436	14,1748	15,4271	17,3274	1,2172	2,459	3,5995	4,477	5,5385	6,7738	
6,8312	7,5419	8,3922	9,0018	9,9155	11,1235	12,0263	12,9576	14,2099	16,1102	17,3274	1,2418	2,3823	3,2598	4,3213	5,5565	
5,5894	6,3001	7,1504	7,76	8,6737	9,8817	10,7845	11,7158	12,9681	14,8684	16,0856	17,3274	1,1405	2,018	3,0795	4,3148	
4,449	5,1597	6,01	6,6195	7,5332	8,7412	9,6441	10,5753	11,8276	13,7279	14,9451	16,1869	17,3274	0,87753	1,939	3,1743	
3,5714	4,2821	5,1324	5,742	6,6557	7,8637	8,7666	9,6978	10,9501	12,8504	14,0676	15,3094	16,4499	17,3274	1,0615	2,2968	
2,5099	3,2206	4,0709	4,6805	5,5942	6,8022	7,7051	8,6363	9,8886	11,7889	13,0061	14,2479	15,3884	16,2659	17,3274	1,2353	
1,2747	1,9854	2,8357	3,4452	4,3589	5,5669	6,4698	7,401	8,6534	10,5536	11,7708	13,0126	14,1531	15,0306	16,0921	17,3274	
