9,9161	0,34911	0,66912	0,97204	1,2806	1,5657	1,8192	2,122	2,4123	2,7353	3,0348	3,3395	3,6759	3,9814	4,3156	4,6721	5,0149	5,3661	5,7214	6,0616	6,3892	6,7179	7,0017	7,3165	7,6141	7,9145	8,2629	8,5645	8,8455	9,2303	9,5453	
9,567	9,9161	0,32001	0,62293	0,93149	1,2166	1,4701	1,7729	2,0632	2,3862	2,6857	2,9903	3,3268	3,6323	3,9665	4,323	4,6658	5,017	5,3722	5,7125	6,04	6,3688	6,6526	6,9674	7,265	7,5654	7,9138	8,2154	8,4964	8,8812	9,1962	
9,247	9,5961	9,9161	0,30292	0,61148	0,89655	1,1501	1,4529	1,7432	2,0662	2,3657	2,6703	3,0068	3,3123	3,6465	4,003	4,3458	4,697	5,0522	5,3924	5,72	6,0488	6,3326	6,6474	6,9449	7,2454	7,5938	7,8954	8,1763	8,5611	8,8762	
8,9441	9,2932	9,6132	9,9161	0,30856	0,59362	0,84719	1,1499	1,4403	1,7633	2,0628	2,3674	2,7039	3,0094	3,3435	3,7	4,0429	4,3941	4,7493	5,0895	5,4171	5,7459	6,0296	6,3444	6,642	6,9425	7,2909	7,5924	7,8734	8,2582	8,5733	
8,6355	8,9846	9,3046	9,6076	9,9161	0,28507	0,53864	0,84138	1,1317	1,4547	1,7542	2,0589	2,3953	2,7008	3,035	3,3915	3,7343	4,0855	4,4408	4,781	5,1086	5,4373	5,7211	6,0359	6,3335	6,6339	6,9823	7,2839	7,5649	7,9497	8,2647	
8,3505	8,6996	9,0196	9,3225	9,631	9,9161	0,25357	0,55631	0,84664	1,1696	1,4692	1,7738	2,1102	2,4158	2,7499	3,1064	3,4492	3,8005	4,1557	4,4959	4,8235	5,1523	5,436	5,7508	6,0484	6,3488	6,6972	6,9988	7,2798	7,6646	7,9797	
8,0969	8,446	8,766	9,0689	9,3775	9,6625	9,9161	0,30274	0,59308	0,91607	1,2156	1,5202	1,8567	2,1622	2,4964	2,8529	3,1957	3,5469	3,9021	4,2423	4,5699	4,8987	5,1824	5,4972	5,7948	6,0953	6,4437	6,7453	7,0262	7,411	7,7261	
7,7941	8,1432	8,4633	8,7662	9,0747	9,3598	9,6134	9,9161	0,29033	0,61333	0,91285	1,2175	1,5539	1,8594	2,1936	2,5501	2,8929	3,2441	3,5994	3,9396	4,2672	4,596	4,8797	5,1945	5,4921	5,7925	6,1409	6,4425	6,7235	7,1083	7,4234	
7,5038	7,8529	8,1729	8,4758	8,7844	9,0695	9,323	9,6258	9,9161	0,323	0,62252	0,92715	1,2636	1,5691	1,9033	2,2598	2,6026	2,9538	3,309	3,6493	3,9768	4,3056	4,5894	4,9042	5,2018	5,5022	5,8506	6,1522	6,4332	6,818	7,133	
7,1808	7,5299	7,8499	8,1528	8,4614	8,7465	9	9,3028	9,5931	9,9161	0,29952	0,60415	0,94058	1,2461	1,5803	1,9368	2,2796	2,6308	2,986	3,3263	3,6538	3,9826	4,2664	4,5812	4,8788	5,1792	5,5276	5,8292	6,1102	6,495	6,81	
6,8813	7,2304	7,5504	7,8533	8,1619	8,447	8,7005	9,0033	9,2936	9,6166	9,9161	0,30463	0,64106	0,9466	1,2808	1,6373	1,9801	2,3313	2,6865	3,0267	3,3543	3,6831	3,9669	4,2816	4,5792	4,8797	5,2281	5,5297	5,8106	6,1954	6,5105	
6,5767	6,9258	7,2458	7,5487	7,8573	8,1423	8,3959	8,6986	8,989	9,312	9,6115	9,9161	0,33644	0,64197	0,97613	1,3326	1,6754	2,0267	2,3819	2,7221	3,0497	3,3785	3,6622	3,977	4,2746	4,5751	4,9235	5,225	5,506	5,8908	6,2059	
6,2402	6,5893	6,9093	7,2123	7,5208	7,8059	8,0595	8,3622	8,6525	8,9755	9,2751	9,5797	9,9161	0,30553	0,6397	0,9962	1,339	1,6902	2,0455	2,3857	2,7133	3,042	3,3258	3,6406	3,9382	4,2386	4,587	4,8886	5,1696	5,5544	5,8694	
