15,2036	1,1755	1,9498	2,8604	3,8876	5,113	6,1491	7,4515	8,5558	9,4029	10,3476	11,2976	12,0183	12,739	13,4573	14,1737	
14,0281	15,2036	0,77429	1,6849	2,712	3,9375	4,9736	6,276	7,3803	8,2274	9,1721	10,1221	10,8427	11,5635	12,2818	12,9982	
13,2538	14,4294	15,2036	0,91058	1,9377	3,1632	4,1993	5,5017	6,606	7,4531	8,3978	9,3478	10,0684	10,7892	11,5075	12,2239	
12,3432	13,5188	14,2931	15,2036	1,0272	2,2526	3,2887	4,5911	5,6954	6,5425	7,4872	8,4372	9,1579	9,8786	10,5969	11,3133	
11,3161	12,4916	13,2659	14,1765	15,2036	1,2255	2,2615	3,5639	4,6683	5,5154	6,46	7,41	8,1307	8,8514	9,5697	10,2861	
10,0906	11,2662	12,0405	12,951	13,9782	15,2036	1,0361	2,3385	3,4428	4,2899	5,2346	6,1846	6,9052	7,626	8,3443	9,0607	
9,0545	10,2301	11,0044	11,9149	12,9421	14,1676	15,2036	1,3024	2,4067	3,2538	4,1985	5,1485	5,8692	6,5899	7,3082	8,0246	
7,7522	8,9277	9,702	10,6126	11,6397	12,8652	13,9013	15,2036	1,1043	1,9514	2,8961	3,8461	4,5668	5,2875	6,0058	6,7222	
6,6478	7,8233	8,5976	9,5082	10,5354	11,7608	12,7969	14,0993	15,2036	0,84708	1,7918	2,7418	3,4624	4,1832	4,9014	5,6179	
5,8007	6,9763	7,7506	8,6611	9,6883	10,9137	11,9498	13,2522	14,3566	15,2036	0,94467	1,8947	2,6153	3,3361	4,0544	4,7708	
4,8561	6,0316	6,8059	7,7165	8,7436	9,9691	11,0052	12,3076	13,4119	14,259	15,2036	0,95001	1,6707	2,3914	3,1097	3,8261	
3,9061	5,0816	5,8559	6,7665	7,7936	9,0191	10,0552	11,3575	12,4619	13,309	14,2536	15,2036	0,72067	1,4414	2,1597	2,8761	
3,1854	4,3609	5,1352	6,0458	7,0729	8,2984	9,3345	10,6369	11,7412	12,5883	13,533	14,483	15,2036	0,72074	1,439	2,1554	
2,4646	3,6402	4,4145	5,325	6,3522	7,5777	8,6137	9,9161	11,0205	11,8676	12,8122	13,7622	14,4829	15,2036	0,71828	1,4347	
1,7464	2,9219	3,6962	4,6068	5,6339	6,8594	7,8955	9,1979	10,3022	11,1493	12,0939	13,044	13,7646	14,4854	15,2036	0,7164	
1,03	2,2055	2,9798	3,8904	4,9175	6,143	7,1791	8,4815	9,5858	10,4329	11,3775	12,3276	13,0482	13,769	14,4872	15,2036	
