-0,66278	2,5722
-0,91076	2,5491
-1,1585	2,5078
-1,402	2,4455
-1,6375	2,3596
-1,861	2,2473
-2,0692	2,108
-2,2603	1,9451
-2,4325	1,7626
-2,5842	1,5632
-2,714	1,3489
-2,8202	1,1219
-2,9009	0,88454
-2,9545	0,63932
-2,9817	0,38895
-2,984	0,13625
-2,9628	-0,11599
-2,9197	-0,36495
-2,8551	-0,60774
-2,7652	-0,84116
-2,6456	-1,0618
-2,4971	-1,2647
-2,3235	-1,4442
-2,1291	-1,5991
-1,9182	-1,7365
-1,695	-1,8632
-1,4628	-1,9708
-1,224	-2,0427
-0,9809	-2,0628
-0,73529	-2,0329
-0,48777	-1,9782
-0,23893	-1,9255
0,010709	-1,8957
0,26083	-1,892
0,51113	-1,9144
0,76131	-1,9626
1,0101	-2,0171
1,2552	-2,0333
1,4937	-1,9755
1,7218	-1,8607
1,9357	-1,7209
2,1345	-1,5695
2,3201	-1,4039
2,492	-1,2211
2,6416	-1,0201
2,7604	-0,8003
2,8491	-0,56554
2,9118	-0,32107
2,9511	-0,071281
2,9666	0,18105
2,9578	0,43331
2,924	0,6829
2,8648	0,92721
2,7796	1,1632
2,668	1,3874
2,5302	1,5965
2,3697	1,7892
2,1909	1,965
1,9963	2,1226
1,7866	2,26
1,5629	2,3748
1,3278	2,4629
1,0847	2,5202
0,8365	2,5504
0,58625	2,5674
0,33628	2,5826
0,086742	2,5948
-0,16271	2,5999
-0,41244	2,5938
-0,66278	2,5722
