1,324	1,2885
1,592	1,1794
1,7592	0,99559
1,8367	0,7621
1,8352	0,50406
1,7657	0,2466
1,6392	0,014298
1,4663	-0,17751
1,2576	-0,32151
1,0235	-0,41418
0,77354	-0,46823
0,51691	-0,50096
0,26019	-0,52339
0,0045881	-0,53392
-0,24934	-0,52941
-0,50102	-0,50673
-0,74987	-0,46278
-0,99459	-0,39504
-1,2328	-0,30182
-1,457	-0,1777
-1,6483	-0,0081991
-1,7862	0,21679
-1,8525	0,4734
-1,8298	0,7252
-1,7123	0,94496
-1,5292	1,1326
-1,316	1,2932
-1,0948	1,4285
-0,86579	1,5358
-0,6273	1,6117
-0,37891	1,6554
-0,12407	1,6729
0,133	1,6716
0,38831	1,6554
0,6384	1,6174
0,87994	1,5493
1,1096	1,4425
1,324	1,2885
